                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70115,                 2.7059,                 1.2417,                0.00253,                      1,                0.43022,                0.24497,                0.76621,                 3.7825,                 1.6451,                0.00032,                0.00032,                0.00032
                      2,                0.72556,                 2.1839,                  1.244,                0.00253,                      1,                0.40951,                0.17917,                 1.1447,                 3.8437,                 1.8843,             0.00063822,             0.00063822,             0.00063822
                      3,                0.94032,                 1.8277,                 1.4401,                0.00253,                      1,                0.33268,                0.12754,                0.85056,                 3.6844,                  1.681,               0.000934,               0.000934,               0.000934
                      4,                0.87608,                 1.8557,                   1.35,                0.00253,                      1,                0.18115,                0.04918,                 1.5724,                 3.9725,                 2.7788,              0.0012073,              0.0012073,              0.0012073
                      5,                0.87654,                 1.6612,                 1.3362,                0.96931,                0.36842,                0.59738,                0.32971,                 1.0782,                 3.2241,                 2.7521,              0.0014582,              0.0014582,              0.0014582
                      6,                0.87401,                  1.464,                 1.3484,                0.53386,                0.47368,                0.47081,                 0.2261,                 1.4224,                 3.2683,                 2.8604,                0.00167,                0.00167,                0.00167
                      7,                 0.9239,                 1.4319,                 1.3556,                 0.2763,                0.31579,                0.31137,                0.14567,                 1.6913,                 3.2317,                 2.7042,               0.001604,               0.001604,               0.001604
                      8,                0.86181,                 1.2906,                 1.2898,                0.39944,                0.57895,                0.44245,                0.26438,                 1.2668,                 2.5928,                 2.7798,               0.001538,               0.001538,               0.001538
                      9,                0.87068,                 1.3257,                 1.3236,                0.61202,                0.47368,                0.51127,                0.26431,                 1.1651,                  2.428,                 2.0304,               0.001472,               0.001472,               0.001472
                     10,                 0.8003,                 1.2326,                 1.2996,                0.69221,                0.82902,                0.72238,                0.35169,                 1.1566,                 2.0782,                 2.0535,               0.001406,               0.001406,               0.001406
                     11,                0.85373,                 1.1865,                 1.3459,                0.72572,                0.63158,                0.70847,                0.51908,                0.98049,                 1.9233,                 1.8929,                0.00134,                0.00134,                0.00134
                     12,                0.80095,                 1.1656,                 1.3023,                0.59785,                0.62621,                0.51861,                0.30487,                 1.5462,                 2.5419,                 2.3336,               0.001274,               0.001274,               0.001274
                     13,                0.76026,                  1.064,                 1.2748,                0.64244,                0.47368,                0.45171,                0.25774,                 1.2473,                 2.4643,                 1.8248,               0.001208,               0.001208,               0.001208
                     14,                0.77384,                0.95563,                 1.2534,                0.55565,                0.47368,                0.34912,                0.18184,                 1.6318,                    2.4,                 2.2604,               0.001142,               0.001142,               0.001142
                     15,                0.77961,                 0.9928,                  1.257,                0.58514,                0.36842,                0.40919,                0.21501,                 1.9846,                 2.6249,                 2.4606,               0.001076,               0.001076,               0.001076
                     16,                0.70253,                0.93103,                 1.2055,                0.87597,                0.47368,                0.57503,                0.40429,                 1.1092,                 1.3733,                 2.2048,                0.00101,                0.00101,                0.00101
                     17,                0.72452,                0.87433,                 1.2145,                0.89756,                0.42105,                 0.5415,                0.37656,                 1.0248,                  1.876,                 1.9544,               0.000944,               0.000944,               0.000944
                     18,                0.72312,                0.86816,                 1.2168,                0.70795,                0.52632,                0.53854,                0.41854,                0.74321,                  1.309,                 1.4015,               0.000878,               0.000878,               0.000878
                     19,                0.73589,                0.89026,                 1.2385,                0.88055,                0.89474,                0.88861,                0.73464,                0.64588,                 1.0339,                  1.275,               0.000812,               0.000812,               0.000812
                     20,                0.63339,                0.77377,                 1.1503,                0.82323,                0.57895,                0.73644,                0.60752,                0.71992,                 1.2713,                 1.2926,               0.000746,               0.000746,               0.000746
                     21,                0.54243,                 1.0667,                 1.1237,                0.88842,                0.89474,                 0.9372,                0.73879,                0.72845,                 1.0022,                 1.3283,                0.00068,                0.00068,                0.00068
                     22,                0.54136,                0.83696,                 1.1415,                      1,                0.83514,                 0.8665,                0.72042,                0.67964,                 1.0733,                 1.2563,               0.000614,               0.000614,               0.000614
                     23,                0.47285,                0.75548,                 1.0629,                0.94728,                0.94584,                0.89945,                0.78226,                 0.6018,                0.94551,                 1.1577,               0.000548,               0.000548,               0.000548
                     24,                 0.5213,                0.78164,                 1.1299,                 0.8794,                0.89474,                0.87806,                0.76378,                0.60829,                  1.032,                 1.1796,               0.000482,               0.000482,               0.000482
                     25,                0.43981,                0.72197,                 1.0573,                0.94433,                0.89283,                0.89184,                0.75774,                 0.6488,                  1.039,                  1.234,               0.000416,               0.000416,               0.000416
                     26,                0.45534,                0.67467,                 1.0566,                0.93641,                0.89474,                0.95249,                0.83899,                0.57545,                0.78543,                 1.1554,                0.00035,                0.00035,                0.00035
                     27,                0.42684,                0.64436,                 1.0453,                0.94194,                0.94737,                0.96081,                0.85792,                0.52579,                0.71922,                 1.0662,               0.000284,               0.000284,               0.000284
                     28,                0.39068,                0.57324,                 1.0142,                0.94681,                0.93736,                0.97353,                0.88996,                0.43917,                0.66905,                 1.0005,               0.000218,               0.000218,               0.000218
                     29,                0.40503,                0.56186,                  1.039,                0.94701,                0.94085,                0.97628,                0.88931,                0.45667,                0.69117,                 1.0036,               0.000152,               0.000152,               0.000152
                     30,                0.38876,                0.56047,                 1.0313,                0.94688,                0.93866,                0.97891,                0.88257,                0.49228,                0.68359,                 1.0283,                8.6e-05,                8.6e-05,                8.6e-05
